id,ano,status,ementa,autor
171059,1971,Arquivada,"DISPÕE SOBRE ISENÇÃO DE IMPOSTOS PARA PEQUENOS VEICULOS MOTORIZADOS INDIVIDUAIS, E DA OUTRAS PROVIDENCIAS.",ALBERTO LAVINAS
195133,1976,Arquivada,DISPÕE SOBRE A CONSTRUÇÃO DE FAIXAS ESPECIAIS DESTINADAS AO TRAFEGO DE BICICLETAS E OUTROS VEICULOS DE TRAÇÃO HUMANA NAS RODOVIAS FEDERAIS E DA OUTRAS PROVIDENCIAS.,SIQUEIRA CAMPOS
209745,1976,Arquivada,DISPÕE SOBRE A CONSTRUÇÃO DE CICLOVIAS NO DISTRITO FEDERAL E DA OUTRAS PROVIDENCIAS.,SIQUEIRA CAMPOS
211107,1976,Arquivada,"DISPÕE SOBRE A IMPLANTAÇÃO DE FAIXAS DESTINADAS AO TRAFEGO DE BICICLETAS, AO LONGO DAS RODOVIAS FEDERAIS.",OSVALDO BUSKEI
220149,1977,Arquivada,DETERMINA QUE AS BICICLETAS DE FABRICAÇÃO NACIONAL TENHAM FAROL DIANTEIRO E INDICADOR LUMINOSO EM SUA PARTE TRASEIRA.,JOSE CAMARGO
196162,1979,Arquivada,"INSTITUI O PROGRAMA NACIONAL DE CICLOVIAS, E DA OUTRAS PROVIDENCIAS.",CARDOSO FREGAPANI
234060,1980,,"CONCEDE ISENÇÃO DO PAGAMENTO DE IMPOSTOS MUNICIPAIS PARA LICENCIAMENTO DE BICICLETAS, AOS RESPECTIVOS PROPRIETARIOS.",ROSEMBURGO ROMANO
247605,1981,,SOLICITA INFORMAÇÕES DO MINISTERIO DOS TRANSPORTES SOBRE RECURSOS RESERVADOS NO III PND DO SETOR FERROVIARIO.,JUAREZ FURTADO
211744,1984,Arquivada,"AUTORIZA O PODER EXECUTIVO A INSTITUIR O PROGRAMA NACIONAL DE CICLOVIAS, E DA OUTRAS PROVIDENCIAS.",LEONIDAS SAMPAIO
25590,1993,Transformado em Norma Jurídica,INSTITUI O CODIGO DE TRANSITO BRASILEIRO.,Poder Executivo
