id,ano,status,ementa,autor,url
215003,1993,Arquivada,"DISPÕE SOBRE O CODIGO NACIONAL DE TRANSITO, SOBRE O SISTEMA NACIONAL DE TRANSITO E DA OUTRAS PROVIDENCIAS.",CARLOS LUPI,
219270,1993,Arquivada,CONCEDE ISENÇÃO DO IMPOSTO SOBRE PRODUTOS INDUSTRIALIZADOS - IPI - PARA BICICLETAS SEM MOTOR E SEM DISPOSITIVO PARA TROCA DE MARCHAS.,SIDNEY DE MIGUEL,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=240310
23526,1995,Arquivada,Sugere à Mesa a criação de estacionamentos para bicicletas.,Fernando Gabeira,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=64323
25778,1995,Transformado em nova proposição,Dispõe sobre a criação de estacionamentos para bicicletas.,Fernando Gabeira,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=44636
218744,1998,,"Dispõe sobre alterações no texto da Lei nº 9.503, de 23 de setembro de 1997 (Código de Trânsito Brasileiro ).",INOCENCIO OLIVEIRA,
219055,1998,,Torna obrigatório o uso de capacete de segurança para condutores e passageiros de bicicleta.,JULIO REDECKER,
224367,1998,,"Altera a redação do art. 58 da Lei nº 9.503, de 23 de setembro de 1997, que ""institui o Código de Trânsito Brasileiro"".",ELIAS MURAD,
593911,1998,,"Substitutivo do Senado ao Projeto de Lei da Câmara nº 99, de 2007 (nº 4.124, de 1998, na Casa de origem), que ""Acrescenta inciso XX ao caput do art. 181 da Lei nº 9.503, de 23 de setembro de 1997 - Código de Trânsito Brasileiro"".
Dê-se ao Projeto a seguinte redação:
Altera a Lei nº 9.503, de 23 de setembro de 1997 (Código de Trânsito Brasileiro), para dispor sobre sinalização rodoviária indicativa de pronto-socorro, equipamentos obrigatórios das bicicletas, estacionamento irregular em vaga destinada a pessoa com deficiência e procedimentos para notificação de infração.",Senado Federal,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1144824
15408,1999,Transformado em Norma Jurídica,"Dispõe sobre alterações no texto da Lei nº 9.503, de 23 de setembro de 1997 (Código de Trânsito Brasileiro).
NOVA EMENTA DA REDAÇÃO FINAL: Altera a Lei nº 9.503, de 23 de setembro de 1997 - Código de Trânsito Brasileiro.
NOVA EMENTA APÓS A REVISÃO: Altera os artigos 61, 105 e 338 da Lei nº 9.503, de 23 de setembro de 1997, que institui o Código de Trânsito Brasileiro, para dispor sobre especificidades dos veículos de duas e três rodas.",Inocêncio Oliveira,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=89037
15690,1999,Arquivada,"Altera o art. 320 da Lei nº 9.503, de 23 de setembro de 1997, que institui o Código de Trânsito Brasileiro.",Iédio Rosa,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=34031
102709,1999,Transformado em Norma Jurídica,"Emendas do Senado ao Projeto de Lei nº 402-C, de 1999, que ""altera a Lei nº 9.503, de 23 de setembro de 1997 - Código de Trânsito Brasileiro"".
Dê-se à ao Projeto a seguinte ementa:
""Altera os arts. 61, 105 e 338 da Lei nº 9.503, de 23 de setembro de 1997, que institui o Código de Trânsito Brasileiro, para dispor sobre especificidades dos veículos de duas e de três rodas"".",Senado Federal,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=129734
26158,2001,Arquivada,"Altera a Lei nº 9.503, de 23 de setembro de 1997, que institui o Código de Trânsito Brasileiro.",Telma de Souza,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=28597
27042,2001,Arquivada,"Sugere ao Poder Executivo, por intermédio do Ministério da Justiça, a adoção de disco ou calota de proteção para os raios das bicicletas.",Antônio Jorge,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=65585
99931,2002,Arquivada,Dispõe sobre a obrigatoriedade da marcação da numeração das bicicletas em seu monobloco e dá outras providências.,Dr. Hélio,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=106723
114362,2003,Arquivada,"Altera a Lei nº 9.503, de 23 de setembro de 1997, que ""Institui o Código de Trânsito Brasileiro"", para dispor sobre o uso dos passeios, das ciclofaixas e ciclovias.",Roberto Jefferson,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=130868
134620,2003,Arquivada,"Dispõe sobre a implantação de ciclovias nas cidades com população superior a 50 mil habitantes, aglomerações urbanas e regiões metropolitanas.",Leônidas Cristino,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=166266
153420,2004,Arquivada,"Altera o inciso VI do art. 105 da Lei nº 9.503, de 23 de setembro de 1997, que institui o Código de Trânsito Brasileiro, para dispor sobre especificidades dos veículos de duas rodas.",Inocêncio Oliveira,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=197846
257781,2004,Transformado em Norma Jurídica,"Dá nova redação aos arts. 1º e 2º da Lei nº 8.010, de 29 de março de 1990, e acrescenta a alínea ""f"" ao inciso I do art. 2º da Lei nº 8.032, de 12 de abril de 1990, que dispõem sobre importações de bens destinados a pesquisa científica e tecnológica e suas respectivas isenções ou reduções de impostos.  
NOVA EMENTA DA REDAÇÃO FINAL: Dá nova redação a dispositivos das Leis nºs 8.010, de 29 de março de 1990 e 8.032, de 12 de abril de 1990, para estender a cientistas e pesquisadores a isenção tributária relativa a bens destinados à pesquisa científica e tecnológica; e faculta a inscrição no Sistema Integrado de Pagamento de Impostos e Contribuições das Microempresas e das Empresas de Pequeno Porte - SIMPLES, das pessoas jurídicas que especifica.",Poder Executivo,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=227632
263142,2004,Transformado em Norma Jurídica,"Dá nova redação aos arts. 1º e 2º da Lei nº 8.010, de 29 de março de 1990, e acrescenta a alínea ""f"" ao inciso I do art. 2º da Lei nº 8.032, de 12 de abril de 1990, que dispõem sobre importações de bens destinados a pesquisa científica e tecnológica e isençãos ou redução de impostos de importação.",Renato Casagrande,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=238469
287523,2005,Arquivada,"Acrescenta os artigos 1.336 - A e 1.336 - B na Lei nº 10.406, de 10 de janeiro de 2002  - Novo Código Civil -  dispondo sobre a reparabilidade pelo condomínio em caso de  furto ou roubo de veículo automotor, motocicleta ou bicicleta de condômino, ocorrido na garagem ou estacionamento interno.",João Batista,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=310562
288137,2005,Arquivada,"Dispõe sobre a criação do Cadastro Nacional de Bicicletas, e dá outras providências.",Ivo José,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=311611
292529,2005,Arquivada,Sugere ao Ministério das Cidades a formulação de programa para implantação de ciclovias ao longo de trechos de rodovias federais que cortam zonas urbanas.,Neuton Lima,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=320405
306333,2005,Arquivada,"Sugere ao Ministério das Cidades sejam tomadas as providências necessárias para a construção de uma ciclovia no percurso do contorno rodoviário da BR-163, no Município de Dourados (MS).",João Grandão,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=355518
310376,2005,Arquivada,"Acrescenta dispositivo ao art. 41 da Lei nº 10.257, de 10 de julho de 2001,  (Estatuto da Cidade), para fixar diretriz aplicável aos planos de transporte urbano integrados.",João Batista,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=365021
316518,2006,Arquivada,"""Dispõe sobre a reserva de estacionamento para bicicletas nos estacionamentos, e dá outras providências"".",Carlos Nader,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=379519
340242,2007,Pronta para Pauta,"Altera a Lei nº 9.503, de 23 de setembro de 1997,  que dispõe sobre o Código de Trânsito Brasileiro.",Solange Amaral,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=434194
352982,2007,Tramitando em Conjunto,"Acrescenta dispositivo ao art. 41 da Lei nº 10.157, de 10 de julho de 2001, Estatuto da Cidade, para fixar diretriz aplicável aos planos de transporte urbano integrados.",Antonio Bulhões,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=463363
357423,2007,Tramitando em Conjunto,Estabelece a obrigação de implantação de ciclovias e ciclofaixas nos municípios e rodovias federais.,Edigar Mão Branca,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=475473
375725,2007,Arquivada,"Autoriza os Estados a legislar sobre mobilidade urbana, a partir das diretrizes nacionais que estabelece, conforme prevê o parágrafo único do art. 22 da Constituição Federal.",Marcondes Gadelha,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=520619
383074,2008,Arquivada,Regulamenta a atividade de entrega de mercadorias por meio de bicicleta.,Marcelo Ortiz,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=537409
389704,2008,Tramitando em Conjunto,"Altera a Lei nº 10.636, de 30 de dezembro de 2002, para incluir entre os objetivos essenciais da aplicação dos recursos da CIDE-Combustíveis a construção de ciclovias.",Rebecca Garcia,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=552012
390014,2008,Aguardando Designação de Relator,"Altera a Lei nº 10.257, de 10 de julho de 2001, (Estatuto da Cidade), para determinar a priorização dos meios de transporte de propulsão humana sobre os motorizados e do transporte coletivo sobre o individual.",Senado Federal - Antonio Carlos Valadares,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=552628
391080,2008,Arquivada,"Altera a Lei nº 9.503, de 23 de setembro de 1997, que institui o Código de Trânsito Brasileiro, para dispor sobre crime doloso de trânsito.",Jovair Arantes,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=554903
392819,2008,Arquivada,"Acrescenta dispositivos à Lei nº 9.503, de 23 de setembro de 1997, que institui o Código de Trânsito Brasileiro, para dispor sobre os condutores e passageiros de bicicletas.",Dr. Talmir,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=559237
395799,2008,Tramitando em Conjunto,Dispõe sobre a reserva de local para o estacionamento de bicicletas.,Manuela D'ávila,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=566332
435960,2009,Arquivada,"Concede isenção do Imposto sobre Produtos Industrializados incidente sobre bicicletas, suas partes e peças, e reduz a zero as alíquotas da Contribuição para o PIS/PASEP e da Contribuição para o Financiamento da Seguridade Social incidentes sobre a importação e a receita bruta decorrente da venda, no mercado interno, desses bens.",Daniel Almeida,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=659303
447083,2009,Arquivada,Institui isenção da Contribuição para o PIS/PASEP e da COFINS para receitas oriundas de operações com peças de motocicletas e bicicletas.,Washington Luiz,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=683830
448285,2009,Arquivada,"Altera o art. 214 do Código de Trânsito Brasileiro, instituído pela Lei nº 9.503, de 23 de setembro de 1997.",Vital do Rêgo Filho,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=686767
452939,2009,Arquivada,"Concede isenção do Imposto sobre Produtos Industrializados incidente sobre motocicletas e bicicletas e reduz a zero as alíquotas da Contribuição para o PIS/PASEP e da Contribuição para o Financiamento da Seguridade Social (COFINS) incidentes sobre a receita bruta decorrente da venda, no mercado interno, desses bens, quando adquiridos por Agentes Comunitários de Saúde.",Elizeu Aguiar,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=696742
459345,2009,Arquivada,"Acrescenta inciso ao art. 181, da Lei nº 9.503, de 23 de setembro  de 1997, que institui o Código de Trânsito Brasileiro, para dispor sobre a infração por estacionar veículo em local que especifica.",Camilo Cola,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=713004
459346,2009,Tramitando em Conjunto,"Altera a redação do caput do art. 320 da Lei nº 9.503, de 23 de setembro de 1997, que institui o Código de Trânsito Brasileiro, para dispor sobre a aplicação dos recursos arrecadados com a cobrança das multas de trânsito.",Camilo Cola,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1273537
459347,2009,Arquivada,"Acrescenta inciso ao art. 202 da Lei nº 9.503, de 23 de setembro de 1997, que institui o Código de Trânsito Brasileiro, para dispor sobre a infração por ultrapassar outro veículo em local que especifica.",Camilo Cola,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=713008
461042,2009,Transformado em Norma Jurídica,"Institui o Programa Bicicleta Brasil, para incentivar o uso da bicicleta visando a melhoria das condições de mobilidade urbana.",Jaime Martins,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=717079
465016,2009,Arquivada,Reduz a zero as alíquotas da Contribuição para o PIS/PASEP e da COFINS incidentes sobre operações com bicicletas e outros ciclos sem motor e com partes e acessórios de motocicletas e bicicletas.,Marinha Raupp,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=727384
